SurveyDateBefore,SurveyDateAfter,NetVolumeChange_CY,AnnualShoalingRate_ftperyr,AnnualShoalingVolume_CYperyr,SurveyOverlapArea_sqft,SurveyOverlapPctReach,river,pool,reach,source_file,Before_date,After_date,DateDiff,DailyShoalingRate_ftperday,DailyShoalingVolume_Cyperday,VolChange_Cyperday,score
20100809,20100810,-1600,-133.968,-584000,117700,5.09,UM,11,5,UM_11_MVR_5_SurveyPairVolumeDifference.csv,2010-08-09,2010-08-10,1,-133.968,-584000,-1600,-38.01975704331694
20100524,20100605,1618.519,58.815,49229.938,22600,0.47,UM,11,18,UM_11_MVR_18_SurveyPairVolumeDifference.csv,2010-05-24,2010-06-05,12,4.90125,4102.494833333333,134.87658333333334,16.535025481481753
20170802,20170804,8677.778,42.004,1583694.444,1018000,23.18,UM,11,19,UM_11_MVR_19_SurveyPairVolumeDifference.csv,2017-08-02,2017-08-04,2,21.002,791847.222,4338.889,11.777757210812704
20220718,20220719,4107.407,185.511,1499203.704,218200,5.39,UM,12,22,UM_12_MVR_22_SurveyPairVolumeDifference.csv,2022-07-18,2022-07-19,1,185.511,1499203.704,4107.407,37.929332056926754
20210325,20210409,14474.074,34.936,352202.469,272200,6.73,UM,12,22,UM_12_MVR_22_SurveyPairVolumeDifference.csv,2021-03-25,2021-04-09,15,2.329066666666667,23480.1646,964.9382666666667,7.095090062841983
20240525,20240605,44.444,36.198,1474.747,1100,0.03,UM,13,4,UM_13_MVR_4_SurveyPairVolumeDifference.csv,2024-05-25,2024-06-05,11,3.2907272727272727,134.0679090909091,4.040363636363637,17.967543716509084
20170602,20170627,-11459.259,-320.372,-167305.185,14100,0.46,UM,16,1,UM_16_MVR_1_SurveyPairVolumeDifference.csv,2017-06-02,2017-06-27,25,-12.81488,-6692.2074,-458.37036,-48.70055097192366
20170602,20170831,-23296.296,-98.113,-94479.424,26000,0.84,UM,16,1,UM_16_MVR_1_SurveyPairVolumeDifference.csv,2017-06-02,2017-08-31,90,-1.0901444444444444,-1049.7713777777778,-258.84773333333334,-14.911919212136254
20170602,20171116,-12637.037,-47.804,-27619.871,15600,0.51,UM,16,1,UM_16_MVR_1_SurveyPairVolumeDifference.csv,2017-06-02,2017-11-16,167,-0.286251497005988,-165.3884491017964,-75.67088023952095,-7.263759744114061
20140521,20140614,-18.519,-38.021,-281.636,200,0,UM,16,15,UM_16_MVR_15_SurveyPairVolumeDifference.csv,2014-05-21,2014-06-14,24,-1.5842083333333334,-11.734833333333334,-0.7716249999999999,-5.776512053329886
20240624,20240625,-3537.037,-86.068,-1291018.519,405000,8.91,UM,17,11,UM_17_MVR_11_SurveyPairVolumeDifference.csv,2024-06-24,2024-06-25,1,-86.068,-1291018.519,-3537.037,-28.70302457769269
20240614,20240625,-3.704,-33.182,-122.896,100,0,UM,17,12,UM_17_MVR_12_SurveyPairVolumeDifference.csv,2024-06-14,2024-06-25,11,-3.016545454545455,-11.172363636363636,-0.33672727272727276,-11.089345626522075
20030826,20030827,459.259,128.215,167629.63,35300,0.77,UM,18,11,UM_18_MVR_11_SurveyPairVolumeDifference.csv,2003-08-26,2003-08-27,1,128.215,167629.63,459.259,44.99403391179952
20240630,20240723,29.63,42.319,470.209,300,0.01,UM,18,14,UM_18_MVR_14_SurveyPairVolumeDifference.csv,2024-06-30,2024-07-23,23,1.8399565217391305,20.44386956521739,1.2882608695652173,14.783424169976833
20110801,20110802,-51.852,-40.236,-18925.926,12700,0.35,UM,18,23,UM_18_MVR_23_SurveyPairVolumeDifference.csv,2011-08-01,2011-08-02,1,-40.236,-18925.926,-51.852,-14.25211749943934
20070918,20071023,-51200,-38.9,-533942.857,370600,5.75,UM,20,3,UM_20_MVR_3_SurveyPairVolumeDifference.csv,2007-09-18,2007-10-23,35,-1.1114285714285714,-15255.510199999999,-1462.857142857143,-15.361435777585912
20240704,20240806,114.815,31.171,1269.921,1100,0.02,UM,20,16,UM_20_MVR_16_SurveyPairVolumeDifference.csv,2024-07-04,2024-08-06,33,0.9445757575757575,38.482454545454544,3.479242424242424,12.098609055607145
20240705,20240731,103.704,98.269,1455.84,400,0.01,UM,21,4,UM_21_MVR_4_SurveyPairVolumeDifference.csv,2024-07-05,2024-07-31,26,3.7795769230769234,55.99384615384615,3.9886153846153842,36.27742446636906
20140727,20140812,496.296,101.896,11321.759,3000,0.04,UM,22,14,UM_22_MVR_14_SurveyPairVolumeDifference.csv,2014-07-27,2014-08-12,16,6.3685,707.6099375,31.0185,29.982886055811775
20140729,20140812,19848.148,55.864,517469.577,250100,4.12,UM,22,13,UM_22_MVR_13_SurveyPairVolumeDifference.csv,2014-07-29,2014-08-12,14,3.990285714285714,36962.112642857144,1417.7248571428572,16.381059549629555
20240708,20240731,-7.407,-31.739,-117.552,100,0,UM,22,20,UM_22_MVR_20_SurveyPairVolumeDifference.csv,2024-07-08,2024-07-31,23,-1.3799565217391305,-5.110956521739131,-0.32204347826086954,-9.504428967512451
20150528,20150601,-5662.963,-41.426,-516745.37,336800,19.38,IL,LA,70,IL_LA_MVR_70_SurveyPairVolumeDifference.csv,2015-05-28,2015-06-01,4,-10.3565,-129186.3425,-1415.74075,-21.88557246049336
20150414,20150416,362.963,36.952,66240.741,48400,2.29,IL,LA,36,IL_LA_MVR_36_SurveyPairVolumeDifference.csv,2015-04-14,2015-04-16,2,18.476,33120.3705,181.4815,19.26359936346422
20101228,20110420,-2237.037,-30.484,-7225.828,6400,0.25,IL,LA,9,IL_LA_MVR_9_SurveyPairVolumeDifference.csv,2010-12-28,2011-04-20,113,-0.2697699115044248,-63.94538053097345,-19.796787610619468,-16.140921689897734
20230418,20231115,96.296,44.976,166.579,100,0,IL,MA,26,IL_MA_MVR_26_SurveyPairVolumeDifference.csv,2023-04-18,2023-11-15,211,0.2131563981042654,0.7894739336492891,0.4563791469194313,17.866924149531055
20130428,20130508,3714.815,35.682,135590.741,102600,10.5,IL,MA,2,IL_MA_MVR_2_SurveyPairVolumeDifference.csv,2013-04-28,2013-05-08,10,3.5682,13559.074100000002,371.4815,14.146435251659922
20160614,20160615,574.074,112.475,209537.037,50300,2.11,IL,PE,70,IL_PE_MVR_70_SurveyPairVolumeDifference.csv,2016-06-14,2016-06-15,1,112.475,209537.037,574.074,43.19007916942346
20070801,20070802,111.111,43.8,40555.556,25000,0.63,IL,PE,5,IL_PE_MVR_5_SurveyPairVolumeDifference.csv,2007-08-01,2007-08-02,1,43.8,40555.556,111.111,16.75371024907703
20100806,20100811,36266.667,64.369,2647466.667,1110500,59.51,IL,SR,11,IL_SR_MVR_11_SurveyPairVolumeDifference.csv,2010-08-06,2010-08-11,5,12.8738,529493.3334,7253.3334,26.296959142694526
